Model,Level,Exp No,Sparsity,Fiedler
mnist_lenet_100,0,0,1.0,3.085497408015445
mnist_lenet_100,0,1,1.0,3.085497408015445
mnist_lenet_100,0,2,1.0,3.085497408015445
mnist_lenet_100,0,3,1.0,3.085497408015445
mnist_lenet_100,0,4,1.0,3.085497408015445
mnist_lenet_100,1,0,0.7999874055415617,1.8515904632056825
mnist_lenet_100,1,1,0.7999874055415617,1.929162643447624
mnist_lenet_100,1,2,0.7999874055415617,2.0370929493058187
mnist_lenet_100,1,3,0.7999874055415617,1.7556832052230806
mnist_lenet_100,1,4,0.7999874055415617,1.9148847506005575
mnist_lenet_100,2,0,0.6399748110831234,1.1830054437851334
mnist_lenet_100,2,1,0.6399748110831234,1.1120749997399257
mnist_lenet_100,2,2,0.6399748110831234,1.1878359416110869
mnist_lenet_100,2,3,0.6399748110831234,1.0745464048343296
mnist_lenet_100,2,4,0.6399748110831234,1.2165388844066607
mnist_lenet_100,3,0,0.5119647355163728,0.6191180251544847
mnist_lenet_100,3,1,0.5119647355163728,0.6447837473179879
mnist_lenet_100,3,2,0.5119647355163728,0.6422597733702895
mnist_lenet_100,3,3,0.5119647355163728,0.5709032634468039
mnist_lenet_100,3,4,0.5119647355163728,0.7189146576721643
mnist_lenet_100,4,0,0.40955919395465995,0.2335427635942186
mnist_lenet_100,4,1,0.40955919395465995,0.18744645678040628
mnist_lenet_100,4,2,0.40955919395465995,0.28351472114581555
mnist_lenet_100,4,3,0.40955919395465995,0.306191250032739
mnist_lenet_100,4,4,0.40955919395465995,0.28019032137269817
mnist_lenet_100,5,0,0.327632241813602,0.13155867610147642
mnist_lenet_100,5,1,0.327632241813602,0.07045279349996099
mnist_lenet_100,5,2,0.327632241813602,0.07456024050427015
mnist_lenet_100,5,3,0.327632241813602,0.05287842792386116
mnist_lenet_100,5,4,0.327632241813602,(0.0012253751269271087+0j)
mnist_lenet_100,6,0,0.26209068010075565,0j
mnist_lenet_100,6,1,0.26209068010075565,0.04150556805821359
mnist_lenet_100,6,2,0.26209068010075565,0.015845167740772534
mnist_lenet_100,6,3,0.26209068010075565,0j
mnist_lenet_100,6,4,0.26209068010075565,0.044200301794612894
mnist_lenet_100,7,0,0.20965994962216625,0j
mnist_lenet_100,7,1,0.20965994962216625,0j
mnist_lenet_100,7,2,0.20965994962216625,0j
mnist_lenet_100,7,3,0.20965994962216625,0j
mnist_lenet_100,7,4,0.20965994962216625,0j
mnist_lenet_100,8,0,0.16770780856423173,0j
mnist_lenet_100,8,1,0.16770780856423173,0j
mnist_lenet_100,8,2,0.16770780856423173,0j
mnist_lenet_100,8,3,0.16770780856423173,0j
mnist_lenet_100,8,4,0.16770780856423173,0j
mnist_lenet_100,9,0,0.1341435768261965,0j
mnist_lenet_100,9,1,0.1341435768261965,0j
mnist_lenet_100,9,2,0.1341435768261965,0j
mnist_lenet_100,9,3,0.1341435768261965,0j
mnist_lenet_100,9,4,0.1341435768261965,0j
mnist_lenet_100,10,0,0.10729219143576826,0.0
mnist_lenet_100,10,1,0.10729219143576826,0j
mnist_lenet_100,10,2,0.10729219143576826,0.0
mnist_lenet_100,10,3,0.10729219143576826,0.0
mnist_lenet_100,10,4,0.10729219143576826,0j
mnist_lenet_100,11,0,0.08581863979848867,0.0
mnist_lenet_100,11,1,0.08581863979848867,0.0
mnist_lenet_100,11,2,0.08581863979848867,0.0
mnist_lenet_100,11,3,0.08581863979848867,0.0
mnist_lenet_100,11,4,0.08581863979848867,0j
mnist_lenet_100,12,0,0.06863979848866499,0.0
mnist_lenet_100,12,1,0.06863979848866499,0.0
mnist_lenet_100,12,2,0.06863979848866499,0.0
mnist_lenet_100,12,3,0.06863979848866499,0.0
mnist_lenet_100,12,4,0.06863979848866499,0.0
mnist_lenet_100,13,0,0.054899244332493706,0.0
mnist_lenet_100,13,1,0.054899244332493706,0.0
mnist_lenet_100,13,2,0.054899244332493706,0.0
mnist_lenet_100,13,3,0.054899244332493706,0.0
mnist_lenet_100,13,4,0.054899244332493706,0.0
mnist_lenet_100,14,0,0.04390428211586902,0.0
mnist_lenet_100,14,1,0.04390428211586902,0.0
mnist_lenet_100,14,2,0.04390428211586902,0.0
mnist_lenet_100,14,3,0.04390428211586902,0.0
mnist_lenet_100,14,4,0.04390428211586902,0.0
mnist_lenet_100,15,0,0.0351007556675063,0.0
mnist_lenet_100,15,1,0.0351007556675063,0.0
mnist_lenet_100,15,2,0.0351007556675063,0.0
mnist_lenet_100,15,3,0.0351007556675063,0.0
mnist_lenet_100,15,4,0.0351007556675063,0.0
mnist_lenet_100,16,0,0.02806045340050378,0.0
mnist_lenet_100,16,1,0.02806045340050378,0.0
mnist_lenet_100,16,2,0.02806045340050378,0.0
mnist_lenet_100,16,3,0.02806045340050378,0.0
mnist_lenet_100,16,4,0.02806045340050378,0.0
mnist_lenet_100,17,0,0.02243073047858942,0.0
mnist_lenet_100,17,1,0.02243073047858942,0.0
mnist_lenet_100,17,2,0.02243073047858942,0.0
mnist_lenet_100,17,3,0.02243073047858942,0.0
mnist_lenet_100,17,4,0.02243073047858942,0.0
mnist_lenet_100,18,0,0.01792191435768262,0.0
mnist_lenet_100,18,1,0.01792191435768262,0.0
mnist_lenet_100,18,2,0.01792191435768262,0.0
mnist_lenet_100,18,3,0.01792191435768262,0.0
mnist_lenet_100,18,4,0.01792191435768262,0.0
mnist_lenet_100,19,0,0.014319899244332494,0.0
mnist_lenet_100,19,1,0.014319899244332494,0.0
mnist_lenet_100,19,2,0.014319899244332494,0.0
mnist_lenet_100,19,3,0.014319899244332494,0.0
mnist_lenet_100,19,4,0.014319899244332494,0.0
